day_after_planting,date,n_kg,p2o5_kg,k2o_kg,mn_mixture_kg,urea_kg,map_kg,dap_kg,white_potash_kg,location_id,plot_id,treatment_id
220,2026-10-08 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P009,T9
230,2026-10-18 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P009,T9
240,2026-10-28 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P009,T9
1,2026-03-02 00:00:00,2.3,5.9,,1.8,,,12.803,,L001,P023,T9
10,2026-03-12 00:00:00,,,,,,,,,L001,P023,T9
20,2026-03-22 00:00:00,,,,,,,,,L001,P023,T9
30,2026-04-01 00:00:00,,,,,,,,,L001,P023,T9
40,2026-04-11 00:00:00,0.39,0.3,0.20495249999999998,,0.7181832,0.49199999999999994,,0.34227067499999997,L001,P023,T9
50,2026-04-21 00:00:00,0.39,0.3,0.20495249999999998,,0.7181832,0.49199999999999994,,0.34227067499999997,L001,P023,T9
60,2026-05-01 00:00:00,0.39,0.3,0.20495249999999998,,0.7181832,0.49199999999999994,,0.34227067499999997,L001,P023,T9
70,2026-05-11 00:00:00,0.39,0.3,0.20495249999999998,,0.7181832,0.49199999999999994,,0.34227067499999997,L001,P023,T9
80,2026-05-21 00:00:00,0.39,0.3,0.20495249999999998,,0.7181832,0.49199999999999994,,0.34227067499999997,L001,P023,T9
90,2026-05-31 00:00:00,0.39,0.3,0.20495249999999998,,0.7181832,0.49199999999999994,,0.34227067499999997,L001,P023,T9
100,2026-06-10 00:00:00,0.8197800000000001,,0.4782225,,1.7789226,,,0.7986315749999999,L001,P023,T9
110,2026-06-20 00:00:00,0.82,,0.4782225,,1.7793999999999999,,,0.7986315749999999,L001,P023,T9
120,2026-06-30 00:00:00,0.82,,0.4782225,1.8,1.7793999999999999,,,0.7986315749999999,L001,P023,T9
130,2026-07-10 00:00:00,0.82,,0.4782225,,1.7793999999999999,,,0.7986315749999999,L001,P023,T9
140,2026-07-20 00:00:00,0.82,,0.4782225,,1.7793999999999999,,,0.7986315749999999,L001,P023,T9
150,2026-07-30 00:00:00,0.82,,0.4782225,,1.7793999999999999,,,0.7986315749999999,L001,P023,T9
160,2026-08-09 00:00:00,0.34157499999999996,,0.45545,,0.7412177499999999,,,0.7606015,L001,P023,T9
170,2026-08-19 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
180,2026-08-29 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
190,2026-09-08 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
200,2026-09-18 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
210,2026-09-28 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
220,2026-10-08 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
230,2026-10-18 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
240,2026-10-28 00:00:00,0.3,,0.45545,,0.6509999999999999,,,0.7606015,L001,P023,T9
1,2026-03-02 00:00:00,0.72,1.83,,1.8,,,3.97,,L001,P004,T4
10,2026-03-12 00:00:00,,,,,,,,,L001,P004,T4
